Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/101865-ufc-fight-night,UFC Fight Night: Fiziev vs. Gamrot,"Saturday, September 23, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/101864-ufc-fight-night,UFC Fight Night: Grasso vs. Shevchenko 2,"Saturday, September 16, 2023",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/101315-ufc-293,UFC 293: Adesanya vs. Strickland,"Saturday, September 09, 2023",Qudos Bank Arena,"Sydney, NSW"
https://www.tapology.com/fightcenter/events/102007-ufc-fight-night,UFC Fight Night: Gane vs. Spivac,"Saturday, September 02, 2023",Accor Arena,"Paris, IDF"
https://www.tapology.com/fightcenter/events/101389-ufc-fight-night,UFC Fight Night: Holloway vs. Korean Zombie,"Saturday, August 26, 2023",Singapore Indoor Stadium,SG
https://www.tapology.com/fightcenter/events/101022-ufc-292,UFC 292: Sterling vs. O'Malley,"Saturday, August 19, 2023",TD Garden,"Boston, MA"
https://www.tapology.com/fightcenter/events/101163-ufc-fight-night,UFC Fight Night: Luque vs. Dos Anjos,"Saturday, August 12, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/101342-ufc-fight-night,UFC Fight Night: Sandhagen vs. Font,"Saturday, August 05, 2023",Bridgestone Arena,"Nashville, TN"
https://www.tapology.com/fightcenter/events/101214-ufc-291,UFC 291: Poirier vs. Gaethje 2,"Saturday, July 29, 2023",Vivint Arena,"Salt Lake City, UT"
https://www.tapology.com/fightcenter/events/99813-ufc-fight-night,UFC Fight Night: Aspinall vs. Tybura,"Saturday, July 22, 2023",O2 Arena,"London, GB"
https://www.tapology.com/fightcenter/events/100553-ufc-fight-night,UFC Fight Night: Holm vs. Bueno Silva,"Saturday, July 15, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/98868-ufc-290,UFC 290: Volkanovski vs. Rodriguez,"Saturday, July 08, 2023",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/100452-ufc-fight-night,UFC Fight Night: Strickland vs. Magomedov,"Saturday, July 01, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/99780-ufc-fight-night,UFC on ABC 5: Emmett vs. Topuria,"Saturday, June 24, 2023",VyStar Veterans Memorial Arena,"Jacksonville, FL"
https://www.tapology.com/fightcenter/events/99705-ufc-fight-night,UFC Fight Night: Vettori vs. Cannonier,"Saturday, June 17, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/99346-ufc-289,UFC 289: Nunes vs. Aldana,"Saturday, June 10, 2023",Rogers Arena,"Vancouver, BC"
https://www.tapology.com/fightcenter/events/99119-ufc-fight-night,UFC Fight Night: Kara-France vs. Albazi,"Saturday, June 03, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/98571-ufc-fight-night,UFC Fight Night: Dern vs. Hill,"Saturday, May 20, 2023",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/98223-ufc-fight-night,UFC on ABC 4: Rozenstruik vs. Almeida,"Saturday, May 13, 2023",Spectrum Center,"Charlotte, NC"
